Customer ID,Gender,first Date,recent date,Customer value,buy times,Points earned,Points redeemed
85498466,M,20120101,20120101,15.9,1,135,
14634939,M,20120102,20130227,4454.0996,35,2130,11
14860694,F,20120103,20130219,2756.28,19,987,785
85570763,M,20120103,20120406,902.3,6,240,
85796047,M,20120106,20120106,39.8,1,40,
85248563,F,20120107,20130203,1702.31,6,645,
85006060,M,20120108,20130331,3038.046572,23,288,2995
9237009,M,20120108,20130329,3101.5099,15,1631,3780
8255920,M,20120109,20130212,1618.57,14,1175,1770
9510186,M,20120109,20120923,919.2,5,269,20
86096709,M,20120110,20130114,782.8898,8,378,
87024445,M,20120112,20120112,40.8,1,0,
84568648,M,20120111,20120115,362,2,230,
2926390,F,20120113,20130329,2004.2401,11,1530,
86103159,M,20120112,20120112,40.8,1,0,
84972658,M,20120113,20121207,975.15,8,666,
87956584,M,20120114,20120114,92.8,1,70,
85355134,F,20120118,20120709,259,4,120,
30883934,M,20120121,20120121,127.7,1,993,
90970113,F,20120130,20121209,650.6,5,494,
91118337,F,20120131,20120814,213,2,120,
85573627,M,20120202,20120302,368.6,4,20,
91103707,F,20120203,20120421,308.2,2,180,
91185937,M,20120204,20120305,174.2,2,0,
55796125,M,20120207,20130202,6870.6,19,2195,
69654974,M,20120213,20120213,98.8,1,30,270
113310772,M,20120219,20130120,488.5,4,390,
377156,M,20120218,20130309,2601.32,16,2495,
6699590,F,20120222,20130321,1130.7099,11,766,
113593758,M,20120221,20120221,101,1,30,
7292318,M,20120221,20130317,948.6,6,890,
113702559,M,20120223,20120919,231.3,3,135,
58177649,F,20120225,20130323,2264.8,12,1770,
73973195,M,20120227,20130331,3225.747959,17,502,732
114004022,M,20120228,20120228,103,1,0,
113178518,M,20120229,20120229,177,1,120,
6672679,M,20120229,20130122,1708.64,9,1390,
113940790,M,20120301,20120403,216.7,2,30,
114062698,M,20120301,20121223,534.9201,4,235,
113425221,M,20120301,20120425,385.7,2,275,
114325100,M,20120307,20120307,59.4,1,10,
29229,unknown,20120307,20120410,622.95,3,465,
84862271,M,20120313,20120313,88,1,90,
114701054,M,20120315,20120624,324.8,3,20,
760471,unknown,20120315,20130323,4458.55,12,740,
64282603,M,20120315,20120406,240.2,2,130,
114908116,unknown,20120316,20120908,838.6498,7,420,
114984474,M,20120319,20120610,367.5,4,230,
115055256,M,20120321,20120321,88.05,1,115,
115050612,unknown,20120321,20130118,1631.29,11,990,
115101138,M,20120321,20120321,86.2,1,45,
115409947,unknown,20120331,20120809,661.2,4,480,
115615210,F,20120408,20121027,714.4001,7,438,
478879,M,20120410,20120910,1097.5801,4,463,
885,M,20120412,20121206,2284.5799,7,1715,15400
115789973,F,20120414,20120414,113,1,55,
114116752,M,20120415,20120415,58,1,0,
116021118,M,20120421,20120421,222.98,1,60,
1847571,F,20120422,20120422,43.4,1,35,
116075116,unknown,20120423,20120423,114,1,0,
116085927,F,20120423,20130204,671,4,305,
116524213,F,20120511,20130123,1614.3,8,461,460
116690744,unknown,20120512,20121219,271.7,8,75,
116817836,M,20120517,20120709,340.6002,3,103,
116970095,unknown,20120523,20121031,337.6,3,45,
117031225,M,20120525,20120525,146.3,1,75,
117184469,M,20120531,20120531,2951.6,1,2215,
117216893,unknown,20120531,20120531,99,1,95,
6460022,M,20120601,20130331,975.5901,8,693,32
6908995,F,20120610,20130303,1452.87,5,667,
6922044,M,20120613,20120613,81.6,1,440,
117574271,M,20120614,20130222,1068.5001,6,470,
117622540,unknown,20120615,20130126,982.84,6,740,
117626092,unknown,20120615,20130322,1399.6801,6,835,
9247,M,20120622,20120824,932.9698,3,705,
117886706,unknown,20120624,20120624,158.9,1,75,
12624367,M,20120626,20130321,6790.18,23,4659,11
117930447,M,20120627,20120627,66.6,1,20,
4344823,M,20120628,20130323,758.5,6,365,
42421927,M,20120701,20130329,1133.239998,8,226,194
118181248,unknown,20120702,20130318,1695.51,13,1305,
66967623,M,20120703,20120820,580.2,5,0,610
119019521,M,20120717,20120717,106.5,1,60,
119104481,unknown,20120719,20120719,100,1,30,
12988752,F,20120719,20120719,87,1,87,
117716339,unknown,20120723,20121102,261.7,2,75,
114227450,F,20120724,20130331,390.6001,4,210,
119323787,M,20120726,20120726,100,1,80,
